raw-pancreas-human-Baron.h5ad,raw-pancreas-mouse-Baron.h5ad
MT-ND1,mt-Nd1
MT-ND2,mt-Nd2
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-ATP8,mt-Atp8
MT-ATP6,mt-Atp6
MT-CO3,mt-Co3
MT-ND3,mt-Nd3
MT-ND4L,mt-Nd4l
MT-ND4,mt-Nd4
MT-ND5,mt-Nd5
MT-ND6,mt-Nd6
MT-CYB,mt-Cytb
STC2,Stc2
HDHD3,Hdhd3
IBA57,Iba57
KCNJ14,Kcnj14
TRIM60,Trim60
NCS1,Ncs1
GFOD2,Gfod2
NUDT14,Nudt14
RLBP1,Rlbp1
THEMIS,Themis
FBP2,Fbp2
ZNHIT2,Znhit2
RNF182,Rnf182
MACC1,Macc1
TRIM61,Trim61
SLC25A4,Slc25a4
ECHDC3,Echdc3
SMO,Smo
DCAF15,Dcaf15
TTC13,Ttc13
FKBP1B,Fkbp1b
FSD2,Fsd2
CC2D2A,Cc2d2a
SMYD5,Smyd5
MBD2,Mbd2
MBOAT1,Mboat1
GJC2,Gjc2
SNRNP48,Snrnp48
REV3L,Rev3l
FXR2,Fxr2
ARHGAP24,Arhgap24
CFAP73,Cfap73
PUS1,Pus1
RELN,Reln
TAPBPL,Tapbpl
DDX54,Ddx54
DNAJA3,Dnaja3
CCDC182,Ccdc182
GMNN,Gmnn
LGI4,Lgi4
ZNF398,Zfp398
PMCH,Pmch
VAMP1,Vamp1
TSC1,Tsc1
USP6NL,Usp6nl
SLC4A2,Slc4a2
CHST1,Chst1
MBTD1,Mbtd1
LDAH,Ldah
PARPBP,Parpbp
MYO15A,Myo15
RBIS,Rbis
OR2K2,Olfr267
NLRP12,Nlrp12
DOCK7,Dock7
TAC4,Tac4
TAL1,Tal1
ABCA2,Abca2
AK4,Ak4
IL22RA2,Il22ra2
E2F5,E2f5
DYRK1B,Dyrk1b
IQSEC1,Iqsec1
TOMM7,Tomm7
CDK6,Cdk6
CD27,Cd27
NUDCD2,Nudcd2
ZMYND11,Zmynd11
TLE7,Tle7
SLC22A16,Slc22a16
MAGOHB,Magohb
HP1BP3,Hp1bp3
TXNDC9,Txndc9
OR51L1,Olfr587-ps1
ZNF23,Zfp612
LHFPL2,Lhfpl2
HELT,Helt
ETV1,Etv1
MEP1B,Mep1b
PPP1R12C,Ppp1r12c
NCL,Ncl
ENC1,Enc1
TUBD1,Tubd1
OST4,Ost4
PODNL1,Podnl1
L2HGDH,L2hgdh
CPTP,Cptp
PHOX2B,Phox2b
OAZ1,Oaz1
NOXO1,Noxo1
WHAMM,Whamm
MYADM,Myadm
AGBL5,Agbl5
FOXO1,Foxo1
PPARGC1A,Ppargc1a
SCTR,Sctr
CCDC173,Ccdc173
MARK3,Mark3
TMEM159,Tmem159
KRT17,Krt17
ZNF282,Zfp282
PRKCG,Prkcg
GRWD1,Grwd1
NFIC,Nfic
KCND2,Kcnd2
HCN2,Hcn2
MED22,Med22
TNIP1,Tnip1
TBL3,Tbl3
AURKC,Aurkc
KDELR1,Kdelr1
RANBP10,Ranbp10
TTC21B,Ttc21b
DACT2,Dact2
MAEA,Maea
CGA,Cga
STAT5B,Stat5b
C3orf80,1110032F04Rik
RAB3IL1,Rab3il1
LRRC4C,Lrrc4c
TUT4,Tut4
TMEM37,Tmem37
ITGA4,Itga4
ATG2B,Atg2b
SMIM3,Smim3
TMEM33,Tmem33
DBI,Dbi
EPHB3,Ephb3
GRIN2D,Grin2d
TMEM248,Tmem248
IL20RA,Il20ra
TUG1,Tug1
DLGAP3,Dlgap3
ABRACL,Abracl
GAS2L1,Gas2l1
OR5B2,Olfr1451
MAPK9,Mapk9
ZNF212,Zfp212
GAREM1,Garem1
PPP1R14C,Ppp1r14c
RAMP1,Ramp1
NGEF,Ngef
AP1S3,Ap1s3
RPUSD1,Rpusd1
VASN,Vasn
OR9H1P,Olfr466
FASTK,Fastk
INTS11,Ints11
KYNU,Kynu
SOX15,Sox15
FAM133B,Fam133b
CD83,Cd83
ADAMTS12,Adamts12
MPDU1,Mpdu1
GSKIP,Gskip
EIF4EBP1,Eif4ebp1
ZNF688,Zfp688
PTPRJ,Ptprj
HACD4,Hacd4
SLC38A7,Slc38a7
GABRR2,Gabrr2
SMARCAL1,Smarcal1
KCNQ5,Kcnq5
PHC3,Phc3
LLPH,Llph
ATP2A1,Atp2a1
LRRC28,Lrrc28
HSPA4,Hspa4
FAM171A1,Fam171a1
FRMD8,Frmd8
MAP3K20,Map3k20
RILPL2,Rilpl2
NEUROD1,Neurod1
CYP2E1,Cyp2e1
MUC5AC,Muc5ac
ZUP1,Zup1
ZFPM2,Zfpm2
CERKL,Cerkl
RASL10A,Rasl10a
FOCAD,Focad
SLC9A7,Slc9a7
EPHB4,Ephb4
OBSL1,Obsl1
TRMT10C,Trmt10c
FBP1,Fbp1
ACP2,Acp2
CLDN14,Cldn14
RABEP2,Rabep2
CCDC187,Ccdc187
PUSL1,Pusl1
NEU2,Neu2
SMAD2,Smad2
PHOSPHO2,Phospho2
ADAM22,Adam22
ARHGEF3,Arhgef3
ZBED6,Gm38394
N6AMT1,N6amt1
BICRA,Bicra
PDZK1IP1,Pdzk1ip1
SLC35D3,Slc35d3
RNF11,Rnf11
FEZ1,Fez1
FCF1,Fcf1
IYD,Iyd
DOCK6,Dock6
KNCN,Kncn
ZNF213,Zfp213
RAD51,Rad51
ASPSCR1,Aspscr1
KLHL14,Klhl14
TMEM275,6430628N08Rik
ALAD,Alad
PYCARD,Pycard
CLK2,Clk2
LRRN3,Lrrn3
PNPLA6,Pnpla6
RSKR,Rskr
OPCML,Opcml
AREL1,Arel1
IMMP2L,Immp2l
EAF2,Eaf2
TMEM63C,Tmem63c
GJC3,Gjc3
IFNK,Ifnk
MOB3B,Mob3b
TRIM72,Trim72
C9,C9
PTPN6,Ptpn6
MEF2C,Mef2c
GSDMD,Gsdmd
CCDC136,Ccdc136
ESCO1,Esco1
GRHPR,Grhpr
OR52E2,Olfr589
BAX,Bax
DDB2,Ddb2
DYNC2H1,Dync2h1
EBF1,Ebf1
KAT6A,Kat6a
OR4Q3,Olfr735
RMDN3,Rmdn3
GREB1,Greb1
CHPF,Chpf
LINGO3,Lingo3
C12orf75,1500009L16Rik
OR52J3,Olfr592
RAB11FIP3,Rab11fip3
RHOXF1,Rhox13
STYK1,Styk1
HSPA12B,Hspa12b
ATP2A3,Atp2a3
GUK1,Guk1
